Date;Zone;Carbon Intensity;consumption;production;import;export;fossilFreePercentage;renewablePercentage;powerConsumptionTotal;powerProductionTotal;powerImportTotal;powerExportTotal
10/01/2020 18:00;PT;210;{'nuclear': None, 'geothermal': None, 'biomass': 284, 'coal': 70, 'wind': 1212, 'solar': None, 'hydro': 2713, 'gas': 2537, 'oil': None, 'unknown': 27, 'hydro discharge': 1244, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 376, 'coal': 93, 'wind': 1602, 'solar': None, 'hydro': 3586, 'gas': 3353, 'oil': None, 'unknown': 36, 'hydro discharge': 1645, 'battery discharge': None};{'ES': 0};{'ES': 2603};67;67;8088;10691;0;2603
11/01/2020 00:00;PT;168;{'nuclear': 135, 'geothermal': 0, 'biomass': 332, 'coal': 21, 'wind': 1865, 'solar': 0, 'hydro': 1674, 'gas': 1567, 'oil': 2, 'unknown': 28, 'hydro discharge': 0, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 331, 'coal': None, 'wind': 1843, 'solar': None, 'hydro': 1667, 'gas': 1522, 'oil': None, 'unknown': 27, 'hydro discharge': -176, 'battery discharge': None};{'ES': 410};{'ES': 0};71;69;5624;5390;410;0
11/01/2020 06:00;PT;226;{'nuclear': 182, 'geothermal': None, 'biomass': 355, 'coal': 29, 'wind': 1444, 'solar': 1, 'hydro': 1024, 'gas': 1970, 'oil': 3, 'unknown': 38, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 347, 'coal': None, 'wind': 1383, 'solar': None, 'hydro': 958, 'gas': 1875, 'oil': None, 'unknown': 36, 'hydro discharge': -106, 'battery discharge': None};{'ES': 552};{'ES': 0};60;56;5045;4599;552;0
11/01/2020 12:00;PT;270;{'nuclear': None, 'geothermal': None, 'biomass': 339, 'coal': None, 'wind': 332, 'solar': 488, 'hydro': 1885, 'gas': 3103, 'oil': None, 'unknown': 34, 'hydro discharge': 276, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 357, 'coal': None, 'wind': 350, 'solar': 514, 'hydro': 1985, 'gas': 3268, 'oil': None, 'unknown': 36.00000000000001, 'hydro discharge': 291, 'battery discharge': None};{'ES': 0};{'ES': 344};51;51;6457;6801;0;344
11/01/2020 18:00;PT;243;{'nuclear': None, 'geothermal': None, 'biomass': 305, 'coal': None, 'wind': 18, 'solar': None, 'hydro': 2673, 'gas': 2703, 'oil': None, 'unknown': 31, 'hydro discharge': 1702, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 358, 'coal': None, 'wind': 21, 'solar': None, 'hydro': 3133, 'gas': 3169, 'oil': None, 'unknown': 36, 'hydro discharge': 1995, 'battery discharge': None};{'ES': 0};{'ES': 1280};63;63;7432;8712;0;1280
12/01/2020 00:00;PT;244;{'nuclear': 456, 'geothermal': 0, 'biomass': 397, 'coal': 70, 'wind': 248, 'solar': 2, 'hydro': 2079, 'gas': 2302, 'oil': 6, 'unknown': 39, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 365, 'coal': None, 'wind': 68, 'solar': None, 'hydro': 1904, 'gas': 2020, 'oil': None, 'unknown': 34, 'hydro discharge': -56, 'battery discharge': None};{'ES': 1264};{'ES': 0};57;49;5599;4391;1264;0
12/01/2020 06:00;PT;271;{'nuclear': 738, 'geothermal': 0, 'biomass': 352, 'coal': 122, 'wind': 358, 'solar': 4, 'hydro': 1004, 'gas': 2106, 'oil': 10, 'unknown': 35, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 344, 'coal': None, 'wind': 51, 'solar': None, 'hydro': 831, 'gas': 1798, 'oil': None, 'unknown': 31, 'hydro discharge': -857, 'battery discharge': None};{'ES': 2532};{'ES': 0};52;36;4730;3055;2532;0
12/01/2020 12:00;PT;246;{'nuclear': 493, 'geothermal': 0, 'biomass': 405, 'coal': 76, 'wind': 120, 'solar': 810, 'hydro': 1677, 'gas': 2572, 'oil': 6, 'unknown': 38, 'hydro discharge': 75, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 367, 'coal': None, 'wind': 11, 'solar': 487, 'hydro': 1455, 'gas': 2164, 'oil': None, 'unknown': 32, 'hydro discharge': 75, 'battery discharge': None};{'ES': 1680};{'ES': 0};57;49;6271;4591;1680;0
12/01/2020 18:00;PT;253;{'nuclear': None, 'geothermal': None, 'biomass': 312, 'coal': None, 'wind': 58, 'solar': None, 'hydro': 2464, 'gas': 2808, 'oil': None, 'unknown': 30, 'hydro discharge': 1493, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 370, 'coal': None, 'wind': 69, 'solar': None, 'hydro': 2923, 'gas': 3332, 'oil': None, 'unknown': 36, 'hydro discharge': 1771, 'battery discharge': None};{'ES': 0};{'ES': 1336};60;60;7165;8501;0;1336
13/01/2020 00:00;PT;289;{'nuclear': 375, 'geothermal': 0, 'biomass': 392, 'coal': 63, 'wind': 139, 'solar': 2, 'hydro': 1697, 'gas': 2802, 'oil': 5, 'unknown': 40, 'hydro discharge': 22, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 362, 'coal': None, 'wind': 48, 'solar': None, 'hydro': 1537, 'gas': 2520, 'oil': None, 'unknown': 35, 'hydro discharge': 22, 'battery discharge': None};{'ES': 1011};{'ES': 0};47;41;5535;4524;1011;0
