;date;totale production;total consumption;diff conso / prod (%);carbon production (kg);new carbon production (kg)
;21/01/2020 00:00;289472;265288;8.35452133539686;75333920;50004560
;21/01/2020 06:00;338043;329423;2.5499714533358184;96465766;69790326
;21/01/2020 12:00;346754;335905;3.1287310312209806;96756679;70302567
;21/01/2020 18:00;354986;343841;3.139560433369203;103369456;77389730
;22/01/2020 00:00;294188;269126;8.519042245094974;82183466;54678738
;22/01/2020 06:00;340278;330180;2.9675735721968506;100893520;73880778
;22/01/2020 12:00;347540;341306;1.793750359670829;104044112;78276490
;22/01/2020 18:00;350153;344992;1.4739271118625286;108219462;81461557
;23/01/2020 00:00;285491;269007;5.773912312472198;88609717;59900047
;23/01/2020 06:00;330762;327627;0.9478114172728427;107597966;79179617
;23/01/2020 12:00;342526;336518;1.7540274314942514;105558242;78815144
;23/01/2020 18:00;348932;342283;1.9055288709547993;110831994;83444965
;24/01/2020 00:00;283775;268430;5.407453087833671;89189764;60220750
;24/01/2020 06:00;332915;333221;-0.09191535376898007;107430424;79631575
;24/01/2020 12:00;344788;343701;0.31526619255890576;106254484;79123853
;24/01/2020 18:00;344211;340805;0.9895093416538112;109135761;81685085
;25/01/2020 00:00;280533;264865;5.585082681894821;83154291;56341349
;25/01/2020 06:00;283297;272971;3.6449379979314993;86235691;59504778
;25/01/2020 12:00;310974;299576;3.6652581887874867;92844750;65382698
;25/01/2020 18:00;313740;306623;2.268438834703895;97268848;69550859
;26/01/2020 00:00;258416;242471;6.1702835737725215;72389317;49779307
;26/01/2020 06:00;258378;239382;7.352019134756055;71277277;48122593
;26/01/2020 12:00;294258;279044;5.1702927363062345;76876484;54362517
;26/01/2020 18:00;305233;293937;3.700779404586005;83518649;59124189
;27/01/2020 00:00;266379;240187;9.832606924720041;62497263;40907942
;27/01/2020 06:00;327305;319342;2.4328989780174455;88160813;63502480
;27/01/2020 12:00;350272;340071;2.9123081490955602;91906808;66974692
;27/01/2020 18:00;346637;337099;2.7515816257352794;93027948;67458513
;28/01/2020 00:00;284023;255513;10.03791946426874;60874755;39318478
;28/01/2020 06:00;331534;320955;3.1909246110504506;79712842;57483601
;28/01/2020 12:00;348821;336630;3.4949157304176066;81930890;58769154
;28/01/2020 18:00;351187;341585;2.7341558770683427;81360979;58335519
;29/01/2020 00:00;276918;258595;6.616760196159152;56005825;35667954
;29/01/2020 06:00;325909;322483;1.0512136823469127;74370124;53541073
;29/01/2020 12:00;347008;338116;2.5624769457764662;75960951;55016061
;29/01/2020 18:00;341153;338632;0.7389646287736001;82177330;60080298
;30/01/2020 00:00;280477;259274;7.559621644555525;59036262;37707485
;30/01/2020 06:00;332849;323520;2.802772428338376;77866706;54923613
;30/01/2020 12:00;344978;334940;2.9097507667155584;75927632;54248124
;30/01/2020 18:00;342312;332652;2.8219869592652316;80464582;56195142
;31/01/2020 00:00;274202;251742;8.191041640834129;51470711;32757030
;31/01/2020 06:00;319906;312032;2.4613480209811636;71705701;50365114
;31/01/2020 12:00;335359;323078;3.662045747989468;71082944;50264847
;31/01/2020 18:00;330039;316972;3.959229060807965;73719914;52068931
;01/02/2020 00:00;259811;239602;7.778346567312393;44489994;28193845
;01/02/2020 06:00;261694;247830;5.297790549267465;45744734;30764227
;01/02/2020 12:00;296146;281073;5.089719260094682;49981098;34726020
;01/02/2020 18:00;298768;285082;4.580811867402131;54528305;39089668
;02/02/2020 00:00;250210;227394;9.118740258183127;39754182;23666824
;02/02/2020 06:00;245658;224209;8.731244250136369;42408571;27222976
;02/02/2020 12:00;273639;260826;4.682446581079451;50828189;35777542
;02/02/2020 18:00;288362;277343;3.821238582060049;58689409;42760369
;03/02/2020 00:00;243492;226415;7.013372102574211;43673196;28451447
;03/02/2020 06:00;310156;304084;1.957724499929068;66607334;48752568
;03/02/2020 12:00;330189;320249;3.0103970756142693;69372916;50839798
;03/02/2020 18:00;326607;321862;1.4528163817676902;76997493;56833658
;04/02/2020 00:00;254705;243552;4.378791150546711;52670032;35417837
;04/02/2020 06:00;318263;314800;1.0880938092081076;73385858;53096137
;04/02/2020 12:00;338936;329641;2.7424056459036517;73012101;53162176
;04/02/2020 18:00;338999;334796;1.2398266661553574;79834466;57856309
;05/02/2020 00:00;279347;257548;7.803556150594064;57061790;37776597
;05/02/2020 06:00;324675;324042;0.19496419496419498;85022100;61136018
;05/02/2020 12:00;331347;325889;1.6472157587061296;85136293;61265935
;05/02/2020 18:00;342570;338712;1.1261931867939399;91823500;66506293
;06/02/2020 00:00;280490;260740;7.0412492423972335;70390135;46748545
;06/02/2020 06:00;334669;330091;1.367918749570471;93074353;66872833
;06/02/2020 12:00;331466;322891;2.5869923310384775;91341414;65877749
;06/02/2020 18:00;341711;340368;0.393022173708192;98078406;72092015
;07/02/2020 00:00;278220;262530;5.639422040112142;77465016;52967165
;07/02/2020 06:00;333575;331727;0.5539983511953833;97307941;70590218
;07/02/2020 12:00;341765;328148;3.984316708849648;91618399;65232706
;07/02/2020 18:00;338786;327112;3.445833062759382;90891422;65455365
;08/02/2020 00:00;265941;250069;5.968241076028141;58024873;40561414
;08/02/2020 06:00;274313;260481;5.042415051419364;61233576;42678022
;08/02/2020 12:00;302315;289296;4.306435340621538;67897589;48832150
;08/02/2020 18:00;308111;295812;3.99174323539244;75516433;53250417
;09/02/2020 00:00;249785;234391;6.16290009408091;45283826;30562205
;09/02/2020 06:00;257511;236880;8.011696587718582;44822306;28067971
;09/02/2020 12:00;294628;271663;7.7945748537138355;50895407;31852062
;09/02/2020 18:00;306286;289797;5.38353042581117;55407179;38077596
;10/02/2020 00:00;257012;236828;7.853329805612189;42516071;25662100
;10/02/2020 06:00;319170;307935;3.520067675533415;59295154;43152775
;10/02/2020 12:00;341595;325682;4.658440550944833;60279874;42697535
;10/02/2020 18:00;342151;328761;3.9134767982557412;67691300;49156127
;11/02/2020 00:00;275453;253675;7.906248978954668;47296388;30417777
;11/02/2020 06:00;330150;320149;3.029229138270483;65205633;46997791
;11/02/2020 12:00;343169;330494;3.6935154399144445;65431173;46477449
;11/02/2020 18:00;347730;336255;3.299974117850056;72685689;52224784
;12/02/2020 00:00;279207;260819;6.5857947687557985;49294962;32329502
;12/02/2020 06:00;331159;323832;2.2125323485093262;71399639;50877140
;12/02/2020 12:00;343565;331778;3.4307918443380436;69778370;49098799
;12/02/2020 18:00;342778;337090;1.6593830409186119;79144571;56097233
;13/02/2020 00:00;276959;257842;6.902465707920667;58696675;38448735
;13/02/2020 06:00;325272;319387;1.8092550234880347;79037571;56342996
;13/02/2020 12:00;342869;331951;3.184306542732064;77368907;55456068
;13/02/2020 18:00;334659;335239;-0.17331074317439543;84659963;62569473
;14/02/2020 00:00;272671;252054;7.561126779158767;68707470;47227591
;14/02/2020 06:00;321094;319629;0.4562526861292954;88709514;65458339
;14/02/2020 12:00;328157;324059;1.2487924987125065;87126147;64994828
;14/02/2020 18:00;325592;321752;1.1793901570063148;89533921;65783523
;15/02/2020 00:00;255159;245983;3.596189042910499;50523115;36301148
;15/02/2020 06:00;262930;255450;2.844863651922565;48954526;35771782
;15/02/2020 12:00;297348;280082;5.8066642452614445;49927874;34862983
;15/02/2020 18:00;298752;290298;2.829771850899743;51619796;36707842
;16/02/2020 00:00;248051;230265;7.170299656119104;39066365;23075499
;16/02/2020 06:00;249177;230097;7.657207527179474;40287295;23278283
;16/02/2020 12:00;288157;265986;7.69406955236208;42641228;25305959
;16/02/2020 18:00;297539;284528;4.3728721276874625;49802997;33628486
;17/02/2020 00:00;252228;234456;7.046005994576336;40734864;23604647
;17/02/2020 06:00;310220;304469;1.8538456579201859;61030469;43982240
;17/02/2020 12:00;332206;319649;3.77988356622096;64073850;45938251
;17/02/2020 18:00;335728;326831;2.650061954915884;68799626;50748543
;18/02/2020 00:00;271326;250444;7.6962768035499725;46688875;30992751
;18/02/2020 06:00;320738;314573;1.9221295886362078;64428240;46713126
;18/02/2020 12:00;335612;323202;3.697722369879504;62173350;44324700
;18/02/2020 18:00;339132;329283;2.9041789037896746;72439093;52265813
;19/02/2020 00:00;271615;251911;7.254385803435009;47465179;32326297
;19/02/2020 06:00;321724;312473;2.8754460344891895;71424675;51811530
;19/02/2020 12:00;338034;324292;4.065271540732589;71622945;52253894
;19/02/2020 18:00;332929;330736;0.6586990018892916;80857416;58311013
;20/02/2020 00:00;264665;252213;4.704815521508322;56849188;38739860
;20/02/2020 06:00;320562;314604;1.8586108147565839;76123230;55555262
;20/02/2020 12:00;333687;322357;3.39539748327025;72701300;52826639
;20/02/2020 18:00;341928;330083;3.464179593364685;74279871;53125648
;21/02/2020 00:00;277544;254934;8.146456057417922;48650808;32243353
;21/02/2020 06:00;320345;316106;1.3232608593859745;67297902;47862606
;21/02/2020 12:00;334079;320110;4.1813463282636745;62325623;44944525
;21/02/2020 18:00;329692;319904;2.9688315154750495;72199942;51764327
;22/02/2020 00:00;260563;246777;5.290850965025733;46327164;31550673
;22/02/2020 06:00;268439;257849;3.945030342088892;47517612;32401272
;22/02/2020 12:00;301177;281673;6.475926116536124;50568437;33303223
;22/02/2020 18:00;303770;287120;5.481120584652863;55869044;38575344
;23/02/2020 00:00;248498;229957;7.461227052129192;41013539;25229609
;23/02/2020 06:00;248075;229734;7.3933286304545005;42087162;27084385
;23/02/2020 12:00;274698;262689;4.37171002337112;45617662;32548245
;23/02/2020 18:00;296837;282297;4.898311194359193;54684494;39223293
;24/02/2020 00:00;252022;233366;7.402528350699542;45599020;30482209
;24/02/2020 06:00;300164;296790;1.1240521848056395;70333148;50926008
;24/02/2020 12:00;326757;313927;3.9264652325734417;71378566;51875698
;24/02/2020 18:00;333504;320053;4.033234983688351;74805475;53624837
;25/02/2020 00:00;268134;247137;7.83078609948757;48527090;31715863
;25/02/2020 06:00;312817;302011;3.4544158405713246;64157070;45351279
;25/02/2020 12:00;330855;317880;3.921657523688625;61902944;43758005
;25/02/2020 18:00;329640;323707;1.7998422521538648;73425591;53661440
;26/02/2020 00:00;264966;249808;5.720733980963595;53506563;36477672
