Date;Zone;Carbon Intensity;consumption;production;import;export;fossilFreePercentage;renewablePercentage;powerConsumptionTotal;powerProductionTotal;powerImportTotal;powerExportTotal
2020-01-02 15:00:00;IT-SAR;556;{'nuclear': None, 'geothermal': None, 'biomass': 37, 'coal': 353, 'wind': 56, 'solar': 11, 'hydro': 36, 'gas': 435, 'oil': 14, 'unknown': 18, 'hydro discharge': 12, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 464, 'wind': 74, 'solar': 14, 'hydro': 47, 'gas': 571, 'oil': 19, 'unknown': 23, 'hydro discharge': 16, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 304};16;16;972;1276;0;304
2020-01-02 18:00:00;IT-SAR;570;{'nuclear': None, 'geothermal': None, 'biomass': 43, 'coal': 440, 'wind': 30, 'solar': None, 'hydro': 42, 'gas': 513, 'oil': 17, 'unknown': 22, 'hydro discharge': 183, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 492, 'wind': 34, 'solar': None, 'hydro': 47, 'gas': 573, 'oil': 19, 'unknown': 25, 'hydro discharge': 205, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 152};23;23;1291;1443;0;152
2020-01-02 21:00:00;IT-SAR;584;{'nuclear': None, 'geothermal': None, 'biomass': 42, 'coal': 426, 'wind': 32, 'solar': None, 'hydro': 41, 'gas': 506, 'oil': 17, 'unknown': 21, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 484, 'wind': 36, 'solar': None, 'hydro': 47, 'gas': 575, 'oil': 19, 'unknown': 24, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 148};11;11;1085;1233;0;148
2020-01-03 00:00:00;IT-SAR;539;{'nuclear': None, 'geothermal': None, 'biomass': 31, 'coal': 267, 'wind': 66, 'solar': None, 'hydro': 31, 'gas': 372, 'oil': 12, 'unknown': 15, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 409, 'wind': 101, 'solar': None, 'hydro': 48, 'gas': 570, 'oil': 19, 'unknown': 23, 'hydro discharge': -145, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 279};16;16;794;1218;0;279
2020-01-03 03:00:00;IT-SAR;542;{'nuclear': None, 'geothermal': None, 'biomass': 31, 'coal': 258, 'wind': 59, 'solar': None, 'hydro': 31, 'gas': 365, 'oil': 12, 'unknown': 15, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 405, 'wind': 92, 'solar': None, 'hydro': 48, 'gas': 573, 'oil': 19, 'unknown': 24, 'hydro discharge': -156, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 282};16;16;771;1209;0;282
2020-01-03 06:00:00;IT-SAR;542;{'nuclear': None, 'geothermal': None, 'biomass': 39, 'coal': 351, 'wind': 87, 'solar': None, 'hydro': 39, 'gas': 464, 'oil': 15, 'unknown': 19, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 434, 'wind': 108, 'solar': None, 'hydro': 48, 'gas': 574, 'oil': 19, 'unknown': 24, 'hydro discharge': -25, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 215};16;16;1015;1255;0;215
2020-01-03 09:00:00;IT-SAR;543;{'nuclear': None, 'geothermal': None, 'biomass': 44, 'coal': 399, 'wind': 42, 'solar': 60, 'hydro': 44, 'gas': 520, 'oil': 17, 'unknown': 23, 'hydro discharge': 1, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 436, 'wind': 46, 'solar': 65, 'hydro': 48, 'gas': 568, 'oil': 19, 'unknown': 25, 'hydro discharge': 1, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 106};17;17;1150;1256;0;106
2020-01-03 12:00:00;IT-SAR;519;{'nuclear': None, 'geothermal': None, 'biomass': 44, 'coal': 376, 'wind': 55, 'solar': 87, 'hydro': 44, 'gas': 519, 'oil': 17, 'unknown': 22, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 409, 'wind': 60, 'solar': 95, 'hydro': 48, 'gas': 565, 'oil': 19, 'unknown': 24, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 103};20;20;1165;1268;0;103
2020-01-03 15:00:00;IT-SAR;554;{'nuclear': None, 'geothermal': None, 'biomass': 45, 'coal': 418, 'wind': 75, 'solar': None, 'hydro': 44, 'gas': 484, 'oil': 16, 'unknown': 22, 'hydro discharge': 72, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 456, 'wind': 82, 'solar': None, 'hydro': 48, 'gas': 528, 'oil': 17, 'unknown': 24, 'hydro discharge': 79, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 107.99999999999999};20;20;1175;1283;0;108
2020-01-03 18:00:00;IT-SAR;538;{'nuclear': None, 'geothermal': None, 'biomass': 46, 'coal': 505, 'wind': 145, 'solar': None, 'hydro': 60, 'gas': 529, 'oil': 16, 'unknown': 22, 'hydro discharge': 13, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 544, 'wind': 156, 'solar': None, 'hydro': 65, 'gas': 569, 'oil': 17, 'unknown': 24, 'hydro discharge': 14, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 102};20;20;1336;1438;0;102
